Commit Hash,File Name,Method Name,Method Code,Commit Link
7f31c4c95056efa9df145290976aaeabba11b7f9,Control.java,main,"public static void main(String[] args) { System.out.println(""Hello, world!""); }",https://www.github.com/sethm/symon/commit/7f31c4c95056efa9df145290976aaeabba11b7f9
7f31c4c95056efa9df145290976aaeabba11b7f9,ControlTest.java,suite,public static Test suite() { return new TestSuite(ControlTest.class); },https://www.github.com/sethm/symon/commit/7f31c4c95056efa9df145290976aaeabba11b7f9
7f31c4c95056efa9df145290976aaeabba11b7f9,ControlTest.java,testControl,public void testControl() { assertTrue(true); },https://www.github.com/sethm/symon/commit/7f31c4c95056efa9df145290976aaeabba11b7f9
a74322459a68e225bcf9521651000592d6c87a81,CommandParser.java,run,"public void run() { try { String command = null; greeting(); prompt(); while (!shouldQuit(command = readLine())) { dispatch(command); prompt(); } writeLine(""Goodbye!""); } catch (IOException ex) { System.err.println(""Error: "" + ex.toString()); System.exit(1); } }",https://www.github.com/sethm/symon/commit/a74322459a68e225bcf9521651000592d6c87a81
a74322459a68e225bcf9521651000592d6c87a81,CommandParser.java,dispatch,"public void dispatch(String command) throws IOException { writeLine(""You entered: "" + command); }",https://www.github.com/sethm/symon/commit/a74322459a68e225bcf9521651000592d6c87a81
a74322459a68e225bcf9521651000592d6c87a81,CommandParser.java,greeting,"private void greeting() throws IOException { writeLine(""Welcome to the j6502 Simulator!""); }",https://www.github.com/sethm/symon/commit/a74322459a68e225bcf9521651000592d6c87a81
a74322459a68e225bcf9521651000592d6c87a81,CommandParser.java,prompt,"private void prompt() throws IOException { m_out.write(""> ""); m_out.flush(); }",https://www.github.com/sethm/symon/commit/a74322459a68e225bcf9521651000592d6c87a81
a74322459a68e225bcf9521651000592d6c87a81,CommandParser.java,readLine,private String readLine() throws IOException { String line = m_in.readLine(); if (line == null) { return null; } return line.trim(); },https://www.github.com/sethm/symon/commit/a74322459a68e225bcf9521651000592d6c87a81
a74322459a68e225bcf9521651000592d6c87a81,CommandParser.java,writeLine,private void writeLine(String line) throws IOException { m_out.write(line); m_out.newLine(); m_out.flush(); },https://www.github.com/sethm/symon/commit/a74322459a68e225bcf9521651000592d6c87a81
a74322459a68e225bcf9521651000592d6c87a81,CommandParser.java,shouldQuit,"private boolean shouldQuit(String line) { return (line == null || ""q"".equals(line.toLowerCase())); }",https://www.github.com/sethm/symon/commit/a74322459a68e225bcf9521651000592d6c87a81
a74322459a68e225bcf9521651000592d6c87a81,Control.java,main,"public static void main(String[] args) { CommandParser parser = new CommandParser(System.in, System.out); parser.run(); }",https://www.github.com/sethm/symon/commit/a74322459a68e225bcf9521651000592d6c87a81
0163ae47b43cbbe24c7b6ed718a4017c6c5c1f7c,CommandParser.java,prompt,"private void prompt() throws IOException { m_out.write(""j6502> ""); m_out.flush(); }",https://www.github.com/sethm/symon/commit/0163ae47b43cbbe24c7b6ed718a4017c6c5c1f7c
a6abc2cd235063affaad8133146e6a3e322615c3,AddressDecoder.java,addDevice,public void addDevice(Device d),https://www.github.com/sethm/symon/commit/a6abc2cd235063affaad8133146e6a3e322615c3
a6abc2cd235063affaad8133146e6a3e322615c3,AddressDecoder.java,isComplete,public boolean isComplete() { return true; },https://www.github.com/sethm/symon/commit/a6abc2cd235063affaad8133146e6a3e322615c3
a6abc2cd235063affaad8133146e6a3e322615c3,AddressDecoder.java,isSparse,public boolean isSparse() { return !isComplete(); },https://www.github.com/sethm/symon/commit/a6abc2cd235063affaad8133146e6a3e322615c3
a6abc2cd235063affaad8133146e6a3e322615c3,AddressDecoder.java,includes,public boolean includes(int address) { return (address <= m_endAddress && address >= m_startAddress); },https://www.github.com/sethm/symon/commit/a6abc2cd235063affaad8133146e6a3e322615c3
a6abc2cd235063affaad8133146e6a3e322615c3,AddressDecoder.java,setStartAddress,public void setStartAddress(int startAddress) { m_startAddress = startAddress; },https://www.github.com/sethm/symon/commit/a6abc2cd235063affaad8133146e6a3e322615c3
a6abc2cd235063affaad8133146e6a3e322615c3,AddressDecoder.java,setEndAddress,public void setEndAddress(int endAddress) { m_endAddress = endAddress; },https://www.github.com/sethm/symon/commit/a6abc2cd235063affaad8133146e6a3e322615c3
a6abc2cd235063affaad8133146e6a3e322615c3,AddressDecoder.java,getStartAddress,public int getStartAddress() { return m_startAddress; },https://www.github.com/sethm/symon/commit/a6abc2cd235063affaad8133146e6a3e322615c3
a6abc2cd235063affaad8133146e6a3e322615c3,AddressDecoder.java,getEndAddress,public int getEndAddress() { return m_endAddress; },https://www.github.com/sethm/symon/commit/a6abc2cd235063affaad8133146e6a3e322615c3
a6abc2cd235063affaad8133146e6a3e322615c3,CommandParser.java,run,"public void run() { try { String command = null; greeting(); prompt(); while (!shouldQuit(command = readLine())) { dispatch(command); prompt(); } writeLine(""\n\nGoodbye!""); } catch (IOException ex) { System.err.println(""Error: "" + ex.toString()); System.exit(1); } }",https://www.github.com/sethm/symon/commit/a6abc2cd235063affaad8133146e6a3e322615c3
a6abc2cd235063affaad8133146e6a3e322615c3,Cpu.java,reset,public void reset() { },https://www.github.com/sethm/symon/commit/a6abc2cd235063affaad8133146e6a3e322615c3
a6abc2cd235063affaad8133146e6a3e322615c3,Cpu.java,interrupt,public void interrupt() { },https://www.github.com/sethm/symon/commit/a6abc2cd235063affaad8133146e6a3e322615c3
a6abc2cd235063affaad8133146e6a3e322615c3,Cpu.java,nmiInterrupt,public void nmiInterrupt() { },https://www.github.com/sethm/symon/commit/a6abc2cd235063affaad8133146e6a3e322615c3
a6abc2cd235063affaad8133146e6a3e322615c3,Device.java,generateInterrupt,public void generateInterrupt() { m_cpu.interrupt(); },https://www.github.com/sethm/symon/commit/a6abc2cd235063affaad8133146e6a3e322615c3
a6abc2cd235063affaad8133146e6a3e322615c3,Device.java,generateNonMaskableInterrupt,public void generateNonMaskableInterrupt() { m_cpu.nmiInterrupt(); },https://www.github.com/sethm/symon/commit/a6abc2cd235063affaad8133146e6a3e322615c3
a6abc2cd235063affaad8133146e6a3e322615c3,Simulator.java,run,public void run() { m_parser.run(); },https://www.github.com/sethm/symon/commit/a6abc2cd235063affaad8133146e6a3e322615c3
a6abc2cd235063affaad8133146e6a3e322615c3,Simulator.java,main,public static void main(String[] args) { new Simulator().run(); },https://www.github.com/sethm/symon/commit/a6abc2cd235063affaad8133146e6a3e322615c3
a6abc2cd235063affaad8133146e6a3e322615c3,Simulator.java,step,public void step() { },https://www.github.com/sethm/symon/commit/a6abc2cd235063affaad8133146e6a3e322615c3
a6abc2cd235063affaad8133146e6a3e322615c3,SimulatorTest.java,suite,public static Test suite() { return new TestSuite(SimulatorTest.class); },https://www.github.com/sethm/symon/commit/a6abc2cd235063affaad8133146e6a3e322615c3
a6abc2cd235063affaad8133146e6a3e322615c3,SimulatorTest.java,testSimulator,public void testSimulator() { assertTrue(true); },https://www.github.com/sethm/symon/commit/a6abc2cd235063affaad8133146e6a3e322615c3
e3300d3166e6ff2e02af483c44efcf92d8a9cd73,Cpu.java,reset,public void reset() { m_sp = 0x01ff; m_pc = 0xfffc; },https://www.github.com/sethm/symon/commit/e3300d3166e6ff2e02af483c44efcf92d8a9cd73
e3300d3166e6ff2e02af483c44efcf92d8a9cd73,Cpu.java,readAddress,private int readAddress() { return readAddress(m_pc); },https://www.github.com/sethm/symon/commit/e3300d3166e6ff2e02af483c44efcf92d8a9cd73
e3300d3166e6ff2e02af483c44efcf92d8a9cd73,Cpu.java,readAddress,private int readAddress(int address) { return (m_sim.read(address)<<8 & m_sim.read(address+1)); },https://www.github.com/sethm/symon/commit/e3300d3166e6ff2e02af483c44efcf92d8a9cd73
e3300d3166e6ff2e02af483c44efcf92d8a9cd73,Cpu.java,getSimulator,public Simulator getSimulator() { return m_sim; },https://www.github.com/sethm/symon/commit/e3300d3166e6ff2e02af483c44efcf92d8a9cd73
e3300d3166e6ff2e02af483c44efcf92d8a9cd73,Device.java,getMemoryRange,public MemoryRange getMemoryRange() { return m_memoryRange; },https://www.github.com/sethm/symon/commit/e3300d3166e6ff2e02af483c44efcf92d8a9cd73
e3300d3166e6ff2e02af483c44efcf92d8a9cd73,Device.java,getEndAddress,public int getEndAddress() { return m_memoryRange.getEndAddress(); },https://www.github.com/sethm/symon/commit/e3300d3166e6ff2e02af483c44efcf92d8a9cd73
e3300d3166e6ff2e02af483c44efcf92d8a9cd73,Device.java,getStartAddress,public int getStartAddress() { return m_memoryRange.getStartAddress(); },https://www.github.com/sethm/symon/commit/e3300d3166e6ff2e02af483c44efcf92d8a9cd73
e3300d3166e6ff2e02af483c44efcf92d8a9cd73,Simulator.java,read,public int read(int address) { return 0; },https://www.github.com/sethm/symon/commit/e3300d3166e6ff2e02af483c44efcf92d8a9cd73
e3300d3166e6ff2e02af483c44efcf92d8a9cd73,Simulator.java,write,"public void write(int address, int value) { }",https://www.github.com/sethm/symon/commit/e3300d3166e6ff2e02af483c44efcf92d8a9cd73
e3300d3166e6ff2e02af483c44efcf92d8a9cd73,CpuTest.java,testCpu,public void testCpu() { Cpu cpu = new Cpu(new Simulator()); assertNotNull(cpu); },https://www.github.com/sethm/symon/commit/e3300d3166e6ff2e02af483c44efcf92d8a9cd73
e3300d3166e6ff2e02af483c44efcf92d8a9cd73,CpuTest.java,testReset,"public void testReset() { fail(""Not yet implemented""); }",https://www.github.com/sethm/symon/commit/e3300d3166e6ff2e02af483c44efcf92d8a9cd73
e3300d3166e6ff2e02af483c44efcf92d8a9cd73,CpuTest.java,testInterrupt,"public void testInterrupt() { fail(""Not yet implemented""); }",https://www.github.com/sethm/symon/commit/e3300d3166e6ff2e02af483c44efcf92d8a9cd73
e3300d3166e6ff2e02af483c44efcf92d8a9cd73,CpuTest.java,testNmiInterrupt,"public void testNmiInterrupt() { fail(""Not yet implemented""); }",https://www.github.com/sethm/symon/commit/e3300d3166e6ff2e02af483c44efcf92d8a9cd73
e3300d3166e6ff2e02af483c44efcf92d8a9cd73,CpuTest.java,testGetSimulator,"public void testGetSimulator() { Simulator sim = new Simulator(); Cpu cpu = new Cpu(sim); assertEquals(sim, cpu.getSimulator()); }",https://www.github.com/sethm/symon/commit/e3300d3166e6ff2e02af483c44efcf92d8a9cd73
e3300d3166e6ff2e02af483c44efcf92d8a9cd73,CpuTest.java,read,"public int read(int address) { Integer val = memory.get(new Integer(address)); if (val == null) { throw new NullPointerException(""Read from a non-existent memory location""); } else { return val.intValue(); } }",https://www.github.com/sethm/symon/commit/e3300d3166e6ff2e02af483c44efcf92d8a9cd73
